Agency Name,How to Share Data on The Platform,Incentives for Data Shared on the Platform,Web Link,,,,,
,,,,,,,,
Physionet,"If you are the submitting author, create a new project using the project management system.
Add your project details. These will include contact information for co-authors, descriptive text, and data files.
Once you are satisfied, submit the project to the editorial team for review.
You will be notified of an editorial decision when the review process is complete.
Once any issues have been addressed, your data or software will be published on PhysioNet.
When a project is published, its content is fixed and cannot be changed.","Improving the discoverability of your work through increased citations.
Creating opportunities for collaboration.
Facilitating reuse of your data and software, maximizing impact.
Encouraging higher-quality, transparent research.",,,,,,
ArrayExpress,"Experiment submissions are handled via the online tool Annotare, which involves filling in a series of web-forms and direct upload of files.
Before starting, have a look at the pre-submission checklist (because there are a few exceptional cases that need further instructions).
Note: once you have pressed ""Submit"", you cannot make any further changes. Updating an experiment that is already curated and loaded into ArrayExpress can be tedious and lengthy (especially for sequencing experiments), so please get your submission in the best possible shape before you submit.",Not Stated,,,,,,
National Sleep Research Resource (NSRR,"Compile documentation (e.g. manuals, questionnaires) about your data
Prepare final datasets with data dictionaries and descriptions
Remove all identifiers from dataset and raw data files
Upload files to NSRR through Secure File Transfer Protocol (SFTP)","Assist you during each step of the submission process
Review uploaded data to ensure all identifiers have been removed
Establish an institutional data use agreement (if needed)
Ensure that only the users you want to access your data receive access
Create a repository for your dataset to organize documentation and data files
Write a blog post to advertise your dataset
Provide periodic updates on usage of your dataset",,,,,,
"Collaborative Research in Computational
Neuroscience","Read through the crcns_instructions_for_contributing_data (PDF) and the crcns_data_description_template (PDF), (MS Word Version) and look over the request to contribute data form to learn about requirements and process of preparing data for contribution to CRCNS.org.
If you think the data satisfies the requirements and you are willing to complete the steps given in the instructions, submit the request to contribute data form (click on the link) to request to contribute data.
After receiving notice that the data will be accepted at CRCNS.org, follow the instructions in the documents mentioned above to complete the contribution process.",Not Stated,http://crcns.org/,,,,,
National Cancer Imaging Archive,Visit https://docs.google.com/forms/d/e/1FAIpQLSebhn8MNh9VkfId4-Wc9l6xlov5QSe9WZ-oSoTMJyi_24jS2g/viewform to view data submission form and upload data accordingly.,"We will help you perform an initial de-identification of your data before it leaves your site.
We will review your submitted data to ensure the data are fully de-identified and the content of the data aligns with your submission proposal.
We will work with you to create a dataset summary page to inform users how your data might be of use to them.  Please review our guidance on auxiliary information we like to provide to the user community where available.
We will publish the final data set, provide you with a citation and digital object identifier (DOI) for your dataset, and announce its availability on our mailing list and social media channels.",https://wiki.cancerimagingarchive.net/,,,,,
PANGAEA,"Submitting data to PANGAEA is rather easy, all you need is your data, some additional information called metadata, and the willingness to open up your data to the world. PANGAEA is a fully curated data repository, so once you take the initial step by uploading your data, experienced data curators are going to help you personally through the further submission process. If you publish and long term archive your data with PANGAEA, they will become findable, accessible, inter-operable and reusable following the FAIR principles.","Long term preservation of data. PANGAEA is member of the World Data System (WDS) of the International Council for Science (ICSU).
Quality assurance on metadata, such as citation, references, geo-location, and standard parameter vocabularies.
Reliable identification and access with a DOI name for each data supplement.
Pre-publication, password protected access to data supplements for journal editors in support to the peer-review process.
Minimum formatting requirements from the authors.
Direct communication with authors regarding changes to data and metadata, e.g. unit conversions, taxonomy updates.
Open access to data in several widely accepted machine-readable formats.
Choice of several Creative Commons licenses to allow scientific reuse.
If you log in with your ORCID ID or add the ID to your PANGAEA user profile, authorship for your data publications is automatically assigned in ORCID.",https://www.pangaea.de/,,,,,
PubChem,"User will visit the website to create an upload account, then proceed to submit data conte ts for publication.","Once your submission is reviewed and published in PubChem, your data will be available for Open Access to the public around the world.",https://pubchem.ncbi.nlm.nih.gov/,,,,,
,,,,,,,,
DRYAD,Click on https://datadryad.org/docs/QuickstartGuideToDataSharing.pdf to get the guide to data upload on DRYAD.,"Once your dataset has been approved by our curators it will be published and publicly available. We will notify you by email and this email will contain a permanent DOI that can be used to cite your dataset. If the cost of your dataset is not covered by a journal, your institution, or a country waiver you will receive an invoice. Datasets can be versioned at any time by clicking ""update"" on your dataset.",https://datadryad.org/stash,,,,,
